"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2024","48.010","48.195","49.070","48.050","","0.04%"
"01/02/2024","47.990","48.620","48.625","48.150","","-0.95%"
"01/01/2024","48.450","48.615","48.630","48.580","","0.08%"
"12/29/2023","48.410","48.560","48.925","48.540","","0.06%"
"12/28/2023","48.380","49.595","49.745","48.530","","-1.87%"
"12/27/2023","49.300","48.625","49.665","48.470","","1.75%"
"12/26/2023","48.450","48.445","48.710","48.420","","0.37%"
"12/25/2023","48.270","48.475","48.495","48.370","","-0.02%"
"12/22/2023","48.280","48.425","48.580","48.325","","0.06%"
"12/21/2023","48.250","48.085","48.440","48.070","","0.71%"
"12/20/2023","47.910","48.490","48.510","48.035","","-0.85%"
"12/19/2023","48.320","48.720","48.750","47.990","","-0.25%"
"12/18/2023","48.440","48.005","48.750","47.875","","1.34%"
"12/15/2023","47.800","48.375","48.480","47.940","","-0.83%"
"12/14/2023","48.200","48.550","48.710","47.890","","-0.25%"
"12/13/2023","48.320","47.705","48.650","47.540","","1.64%"
"12/12/2023","47.540","47.465","47.865","47.445","","0.51%"
"12/11/2023","47.300","47.470","47.875","47.365","","-0.02%"
"12/08/2023","47.310","47.640","47.670","47.295","","-0.32%"
"12/07/2023","47.460","47.490","47.740","47.395","","0.34%"
"12/06/2023","47.300","47.785","48.095","47.445","","-0.67%"
"12/05/2023","47.620","47.930","48.210","47.700","","-0.31%"
"12/04/2023","47.770","48.120","48.215","47.785","","-0.35%"
"12/01/2023","47.940","48.015","48.390","47.860","","0.21%"
"11/30/2023","47.840","48.385","48.465","47.970","","-0.75%"
"11/29/2023","48.200","48.510","48.620","48.330","","-0.27%"
"11/28/2023","48.330","48.350","48.585","48.250","","0.31%"
"11/27/2023","48.180","48.285","48.420","48.220","","0.10%"
"11/24/2023","48.130","48.145","48.340","48.100","","0.31%"
"11/23/2023","47.980","48.070","48.260","48.050","","0.17%"
"11/22/2023","47.900","48.160","48.300","47.910","","-0.19%"
"11/21/2023","47.990","48.245","48.400","48.110","","-0.17%"
"11/20/2023","48.070","48.190","49.415","48.120","","0.15%"
"11/17/2023","48.000","48.780","49.005","47.800","","-1.03%"
"11/16/2023","48.500","48.540","48.980","47.820","","0.50%"
"11/15/2023","48.260","48.085","48.725","47.845","","0.71%"
"11/14/2023","47.920","47.300","48.130","47.270","","1.68%"
"11/13/2023","47.130","47.245","48.220","47.195","","0.13%"
"11/10/2023","47.070","47.150","47.285","47.115","","0.19%"
"11/09/2023","46.980","47.325","47.410","47.115","","-0.38%"
"11/08/2023","47.160","47.240","47.365","47.115","","0.17%"
"11/07/2023","47.080","47.260","47.370","47.080","","-0.04%"
"11/06/2023","47.100","47.480","47.615","47.035","","-0.44%"
"11/03/2023","47.310","47.010","47.560","46.970","","1.02%"
"11/02/2023","46.830","46.770","47.205","46.755","","0.49%"
"11/01/2023","46.600","46.790","46.825","46.535","","-0.09%"
"10/31/2023","46.640","47.240","47.255","46.705","","-0.91%"
"10/30/2023","47.070","46.915","47.285","46.770","","0.68%"
"10/27/2023","46.750","46.825","47.055","46.775","","0.15%"
"10/26/2023","46.680","46.930","46.955","46.665","","-0.13%"
"10/25/2023","46.740","47.900","47.965","46.840","","-1.91%"
"10/24/2023","47.650","47.340","48.055","46.955","","1.02%"
"10/23/2023","47.170","46.930","47.380","46.820","","0.86%"
"10/20/2023","46.770","46.925","46.975","46.800","","0.00%"
"10/19/2023","46.770","46.670","47.085","46.635","","0.56%"
"10/18/2023","46.510","46.890","47.000","46.615","","-0.47%"
"10/17/2023","46.730","46.890","46.980","46.705","","0.02%"
"10/16/2023","46.720","46.565","46.905","46.510","","0.65%"
"10/13/2023","46.420","46.540","46.795","46.515","","0.09%"
"10/12/2023","46.380","47.000","47.085","46.535","","-0.94%"
"10/11/2023","46.820","46.875","47.065","46.765","","0.24%"
"10/10/2023","46.710","46.705","46.985","46.625","","0.37%"
"10/09/2023","46.540","46.690","46.740","46.495","","-0.19%"
"10/06/2023","46.630","46.640","46.855","46.335","","0.34%"
"10/05/2023","46.470","46.505","46.940","46.415","","0.32%"
"10/04/2023","46.320","46.645","46.715","46.245","","-0.30%"
"10/03/2023","46.460","46.590","46.755","46.500","","0.06%"
"10/02/2023","46.430","46.995","47.460","46.590","","-0.90%"
"09/29/2023","46.850","47.070","47.215","46.975","","-0.06%"
"09/28/2023","46.880","46.735","47.135","46.685","","0.67%"
"09/27/2023","46.570","47.255","47.370","46.670","","-1.13%"
"09/26/2023","47.100","47.300","48.170","47.225","","-0.06%"
"09/25/2023","47.130","47.575","47.580","47.215","","-0.57%"
"09/22/2023","47.400","47.600","47.840","47.395","","-0.06%"
"09/21/2023","47.430","47.820","47.845","47.435","","-0.48%"
"09/20/2023","47.660","47.920","48.170","47.775","","-0.17%"
"09/19/2023","47.740","47.930","48.085","47.880","","-0.08%"
"09/18/2023","47.780","47.880","47.985","47.785","","0.21%"
"09/15/2023","47.680","47.660","47.990","47.635","","0.36%"
"09/14/2023","47.510","48.070","49.015","47.630","","-0.81%"
"09/13/2023","47.900","48.530","48.585","47.985","","-0.97%"
"09/12/2023","48.370","48.540","48.895","48.315","","0.00%"
"09/11/2023","48.370","48.380","48.890","48.345","","0.46%"
"09/08/2023","48.150","48.315","48.645","48.280","","0.02%"
"09/07/2023","48.140","48.435","49.095","48.245","","-0.27%"
"09/06/2023","48.270","48.950","49.285","48.320","","-1.11%"
"09/05/2023","48.810","50.335","50.345","48.875","","-2.56%"
